Team,1,2,3,4,5,6,7,8,9,10,11,12
JOE,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MATTY,0.0,50.98,11.92,22.76,14.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JON,0.0,28.4,40.05,21.84,9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMES,0.0,20.61,19.54,20.65,39.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STEVE,0.0,0.0,28.49,34.74,36.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRYCE,0.0,0.0,0.0,0.0,0.0,53.31,5.65,11.01,16.41,11.04,2.58,0.0
LOGAN_DUC,0.0,0.0,0.0,0.0,0.0,21.64,26.9,16.09,20.3,12.27,2.8,0.0
HUNYAR,0.0,0.0,0.0,0.0,0.0,13.45,27.18,20.77,18.51,15.6,4.48,0.0
MCCLURE,0.0,0.0,0.0,0.0,0.0,5.75,18.41,19.98,22.06,23.75,9.89,0.15
KOLBUSH,0.0,0.0,0.0,0.0,0.0,5.79,16.53,16.21,6.35,27.98,24.13,2.99
SCOTT,0.0,0.0,0.0,0.0,0.0,0.06,5.32,15.93,16.28,5.92,33.61,22.88
NICK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.44,22.5,73.97
